YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	FOCAL_DEPTH	EQ_PRIMARY	EQ_MAG_MS	EQ_MAG_MB	INTENSITY	COUNTRY	LOCATION_NAME	LATITUDE	LONGITUDE	REGION_CODE	DEATHS	MISSING	INJURIES	DAMAGE_MILLIONS_DOLLARS	HOUSES_DESTROYED	HOUSES_DAMAGED
1990	2	8	7	15	32.2	26	6.6	6.6	6.2	7	PHILIPPINES	"PHILIPPINES:  BOHOL, CEBU, CAGAYAN DE ORO, CAMIGUIN"	9.755	124.694	170			300	0.9		600
1990	2	28	23	43	36.6	5	5.5	5.5	5.5	7	USA	"CALIFORNIA:  S,  CLAREMONT,  COVINA"	34.14	-117.7	150			30	12.7		
1990	3	4	19	46	19.6	10	6.1	6.1	5.8		PAKISTAN	"PAKISTAN:  KALAT, QUETTA, MASTUNG"	28.925	66.331	60	11		40	1		
1990	3	25	13	22	55.6	22	7	7	6.2	8	COSTA RICA	"COSTA RICA:  PUNTARENAS, SAN JOSE"	9.919	-84.808	100			10			60
1990	3	25	14	17	18.8	33	6.3	6.3	6	6	TAJIKISTAN	TAJIKISTAN:  PAMIR MOUNTAINS	37.034	72.942	40						
1990	3	26	22	47	16.7	39	5.5	5.5	5.6	4	PHILIPPINES	PHILIPPINES:  SANTIAGO	9.253	125.606	170	1		2			
1990	4	2	13	46	31.7	18	4.7		4.7	6	UK	"UNITED KINGDOM:  MANCHESTER, LIVERPOOL"	52.314	-2.985	120						
1990	4	5	21	12	35.5	11	7.5	7.5	6.5	4	USA TERRITORY	NORTHERN MARIANA ISLANDS:  SAIPAN; GUAM	15.125	147.596	170						
1990	4	17	1	59	33.4	33	6.2	6.2	6		CHINA	CHINA:  S XINJIANG:  WUQIA COUNTY	39.436	74.9	40			2			
1990	4	18	13	39	19	26	7.6	7.4	6.2		INDONESIA	INDONESIA:  MINAHASSA PENINSULA: BOLAANG-GORONTALO	1.186	122.857	170	3		25			1140
1990	4	18	19	38	8.9	47	4.7		4.7		IRAN	IRAN:  HANNA	31.107	51.678	140						
1990	4	26	9	37	15	8	6.9	6.9	6.5		CHINA	CHINA:  QINGHAI PROVINCE:  GANGHE-XINGHAI	35.986	100.245	30	126		2049	58.35	66800	66800
1990	5	5	7	21	29.5	10	5.4	5.4	5.3	7	ITALY	ITALY:  POTENZA	40.775	15.766	130	2		16			
1990	5	13	4	23	9.6	21	6.3	6.3	6	8	NEW ZEALAND	"NEW ZEALAND:  DANNEVIRKE,  WELLINGTON"	-40.296	176.064	170						
1990	5	20	2	22	1.6	15	7.1	7.1	6.7		SUDAN	"SUDAN:  JUBA, MAYA;  UGANDA: NAKURA"	5.121	32.145	15	31					
1990	5	24	20	0	8.1	16	7	7	6.5		SUDAN	"SUDAN:  JUBA, KAPENGURIA"	5.358	31.848	15						
1990	5	30	2	34	5.8	24	6.5	6.5	6.1	6	PERU	PERU:  MOYABAMBA-RIOJO	-6.016	-77.229	160	200		8130	1		
1990	5	30	10	40	6.1	89	6.7		6.7	6	ROMANIA	"ROMANIA:  BUCHAREST, BRAILA, BRASOV"	45.841	26.668	110	14		700	23.7		
1990	5	31	0	17	47.8	88	6.1		6.1	5	ROMANIA	"ROMANIA:  KISHINEV, CIS"	45.811	26.769	110						
1990	6	8	0	31	50	10	4.6	4.6	4.7		COSTA RICA	COSTA RICA:  SANTIAGO DE PURISCAL	9.855	-84.327	100						14
1990	6	9	1	14	34.5	26	4.9	4.9	5.5	6	PERU	"PERU:  N, RIOJA, MOYOBAMBA, IQUITOS"	-6.062	-77.136	160	1				14	
1990	6	14	7	40	56.2	18	7.1	7.1	6	6	PHILIPPINES	"PHILIPPINES:  CULASI, PANAY"	11.76	121.899	170	4		15			
1990	6	14	12	47	28.8	58	6.8	6.8	6.1	5	KAZAKHSTAN	"KAZAKHSTAN:  UST, ZAYSAN"	47.869	85.076	40	1				3000	
1990	6	17	4	51	45.5	15	6.3	6.3	5.9		PAKISTAN	PAKISTAN:  BALUCHISTAN	27.398	65.719	60			6			
1990	6	20	21	0	9.9	19	7.7	7.7	6.4	7	IRAN	"IRAN:  RASHT, QAZVIN, ZANJAN,  RUDBAR, MANJIL"	36.957	49.409	140	50000		105000	8000		
1990	6	21	9	2	14.6	15	5.3	5.3	5.8		IRAN	"IRAN:  LOWSHAN, MANJIL"	36.636	49.799	140	20					
1990	7	6	0	16	20.4	14	4.8	4.8	5.8		INDONESIA	"INDONESIA:  JAVA:  W, KUNINGAN, MAJALENGA"	-6.904	108.12	170			103		10300	
1990	7	13	14	20	43.4	217	5.6		5.6	4	AFGHANISTAN	AFGHANISTAN:  HINDU KUSH:  PIK LENINA	36.415	70.789	40	43					
1990	7	16	7	26	34.6	25	7.8	7.8	6.5	9	PHILIPPINES	"PHILIPPINES:  BAGUIO,  CABANATUAN, DAGUPAN"	15.679	121.172	170	2412		3000	369.6		
1990	7	18	11	29	24.9	17	5.1	5.1	5.2		TURKEY	"TURKEY:  CAMELI, DENIZLI"	36.99	29.595	140						393
1990	7	27	12	37	59.5	126	6.4		6.4	5	VANUATU	VANUATU ISLANDS:  ESPIRITU SANTO	-15.355	167.464	170			2			
1990	8	3	9	15	6.1	33	6.1	6.1	6	7	KAZAKHSTAN	"KAZAKHSTAN:  AKKAL, UST"	47.963	84.961	40			8		500	
1990	8	11	2	59	54.9	5	4.4	4.4	5		ECUADOR	"ECUADOR:  PAMASQUI,  QUITO"	-0.059	-78.449	160	4		10			1300
1990	9	26	23	8	23.9	5	4.2	4.2	5.4		SOUTH AFRICA	SOUTH AFRICA:  WELKOM	-28.014	26.727	10	2		5			
1990	9	27	21	12	32.5	33	4.5	4.5	5	6	KAZAKHSTAN	KAZAKHSTAN:  ZAYSAN	47.903	84.961	40						
1990	10	18	9	30	44.4	5	4		4		SOUTH AFRICA	SOUTH AFRICA:  CHARLETONVILLE	-26.39	27.349	10	10		6			
1990	10	20	8	7	27.5	12	5.8	5.8	5.6	4	CHINA	CHINA:  GANSU PROVINCE:  TIANZHU	37.093	103.781	30	7		92		87000	
1990	10	25	4	53	59.9	114	6		6	4	AFGHANISTAN	"AFGHANISTAN:  HINDU KUSH:  CHITRAL, MARDAN, MALAKAND"	35.121	70.486	40	11		250			
1990	11	6	18	45	52.2	11	6.7	6.7	6.2		IRAN	"IRAN:  S, DARAB"	28.251	55.462	140	22		100	232.3		
1990	11	15	2	34	32.4	48	6.8	6.8	6		INDONESIA	"INDONESIA:   N SUMATERA, BLANGKEJEREN, KUTACANE"	3.908	97.457	170	1		32	2.1		
1990	11	27	4	37	58.5	24	5.6	5.6	5.1	8	BOSNIA-HERZEGOVINA	BALKANS NW:  BOSNIA-HERZEGOVINA:  TITOGRAD	43.853	16.633	130			10			
1990	12	1	18	9	28.8	29	4.6	4.6	5	6	KYRGYZSTAN	KYRGYZSTAN:  UZGEN	40.854	73.553	40						1110
1990	12	13	0	24	25.7	11	5.3	5.3	5.5	7	ITALY	ITALY:  SICILY:  CARLENTINI	37.3	15.438	130	19		200	500		
1990	12	13	3	1	48	12	6.2	6.2	5.9	4	TAIWAN	"TAIWAN:  HUALIEN,  TAIPEI"	23.916	121.636	30	2		3			
1990	12	21	6	57	42.9	13	5.9	5.9	5.8	7	GREECE	"GREECE:  EDHESSA, KILKIS"	41.004	22.3	130	1		60			
1990	12	22	17	27	54.8	17	5.7	5.7	5.3	8	COSTA RICA	"COSTA RICA:  ALAJUELA, SANTIAGO DE PURISCAL"	9.869	-84.302	100	2		350	19.5		
1991	1	5	14	57	11.5	20	7.1	7.1	6.2		MYANMAR (BURMA)	"MYANMAR (BURMA):  THABEIKKYIN, MANDALAY"	23.613	95.901	60						32
1991	1	31	23	3	33.6	142	6.4		6.4	7	AFGHANISTAN	"AFGHANISTAN:  BADAKHSTAN, BAGHLAN, LAGHMAN, NAGARHAR"	35.993	70.423	40	848		200	36		2000
1991	2	13	15	49	38.9	5	3.8				FRANCE	FRANCE	44.885	6.76	120	9					
